css_var,mode,layer,source_file,derivation,depends_on,alpha_only
--bs-accordion-color,any,bootstrap-core,src/scss/bootstrap-rtl-fix/_accordion.scss,alias: accordion-color,accordion-color,False
--bs-accordion-bg,any,bootstrap-core,src/scss/bootstrap-rtl-fix/_accordion.scss,alias: accordion-bg,accordion-bg,False
--bs-accordion-border-color,any,bootstrap-core,src/scss/bootstrap-rtl-fix/_accordion.scss,alias: accordion-border-color,accordion-border-color,False
--bs-accordion-btn-color,any,bootstrap-core,src/scss/bootstrap-rtl-fix/_accordion.scss,alias: accordion-button-color,accordion-button-color,False
--bs-accordion-btn-bg,any,bootstrap-core,src/scss/bootstrap-rtl-fix/_accordion.scss,alias: accordion-button-bg,accordion-button-bg,False
--bs-accordion-btn-focus-box-shadow,any,bootstrap-core,src/scss/bootstrap-rtl-fix/_accordion.scss,alias: accordion-button-focus-box-shadow,accordion-button-focus-box-shadow,False
--bs-accordion-body-padding-x,any,bootstrap-core,src/scss/bootstrap-rtl-fix/_accordion.scss,alias: accordion-body-padding-x,accordion-body-padding-x,False
--bs-accordion-body-padding-y,any,bootstrap-core,src/scss/bootstrap-rtl-fix/_accordion.scss,alias: accordion-body-padding-y,accordion-body-padding-y,False
--bs-accordion-active-color,any,bootstrap-core,src/scss/bootstrap-rtl-fix/_accordion.scss,alias: accordion-button-active-color,accordion-button-active-color,False
--bs-accordion-active-bg,any,bootstrap-core,src/scss/bootstrap-rtl-fix/_accordion.scss,alias: accordion-button-active-bg,accordion-button-active-bg,False
--bs-alert-bg,any,bootstrap-core,src/scss/bootstrap-rtl-fix/_alert.scss,transparent,,False
--bs-alert-color,any,bootstrap-core,src/scss/bootstrap-rtl-fix/_alert.scss,inherit,,False
--bs-alert-border-color,any,bootstrap-core,src/scss/bootstrap-rtl-fix/_alert.scss,transparent,,False
--bs-alert-link-color,any,bootstrap-core,src/scss/bootstrap-rtl-fix/_alert.scss,inherit,,False
--bs-alert-color,any,bootstrap-core,src/scss/bootstrap-rtl-fix/_alert.scss,alias: $state-text-emphasis,$state-text-emphasis,False
